Country,Site,Time_Period,Absolute_Time,Unique,Culture,Reference,Species,Species_Sum,Percentage,Presence_Absence,Semi_Quantitative_old,Semi_Quantitative
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,grey gurnard (Eutrigla gurnardus),grey gurnard (Eutrigla gurnardus),,0,0,0
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,Atlantic cod (Gadus morhua),Atlantic cod (Gadus morhua),,0,0,0
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,ruffe (Gymnocephalus cernuus),ruffe (Gymnocephalus cernuus),,x,?,?
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,ide (Leuciscus idus),ide (Leuciscus idus),,x,?,?
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,Thin-lipped/golden grey mullet (Liza ramada/aurata),Thin-lipped/golden grey mullet (Liza ramada/aurata),,0,0,0
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,smelt (Osmerus eperlanus),smelt (Osmerus eperlanus),,0,0,0
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,sea basses (Percichthyidae),sea basses (Percichthyidae),,0,0,0
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,plaice (Pleuronectus platessa),plaice (Pleuronectus platessa),,0,0,0
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,sole (Solea solea),sole (Solea solea),,0,0,0
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2015,tench (Tinca tinca),tench (Tinca tinca),,x,?,?
NL,Bovenkarspel,MBA-LBA,1800-800,,,Scheibner 2015,livestock,livestock,99.9,x,xxxx,xxxx
NL,Bovenkarspel,MBA-LBA,1800-800,,,Scheibner 2015,other,other,0.1,x,x,x
NL,Bovenkarspel,MBA-LBA,1800-800,,Unknown,Harding 2000,cattle,cattle,77,x,xxx,xxxx
NL,Bovenkarspel,MBA-LBA,1800-800,,Unknown,Harding 2000,sheep/goat,caprines,16.0,x,x,x
NL,Bovenkarspel,MBA-LBA,1800-800,,Unknown,Harding 2000,pig,pig,7.0,x,x,x
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2014,Cervus elaphus,Cervus elaphus,,x,?,?
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2014,Sus scrofa,Sus scrofa,,0,0,0
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2014,Ursus arctos,Ursus arctos,,0,0,0
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2014,Anas platyrhynchos,Anas platyrhynchos,,x,?,?
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2014,Cygnus cygnus,Cygnus cygnus,,x,?,?
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2014,Capreolus capreolus,Capreolus capreolus,,x,?,?
NL,Bovenkarspel,MBA-LBA,1800-800,,,van Amerongen 2014,Lepus europaeus,Lepus europaeus,,x,?,?
NL,Enkhuizen,MBA-LBA,1800-800,1,,van Amerongen 2015,eel (Anguilla anguilla),eel (Anguilla anguilla),,x,?,?
NL,Enkhuizen,MBA-LBA,1800-800,,,van Amerongen 2015,carps (Cyprinidae indet.),carps (Cyprinidae indet.),,x,?,?
