Site,Unique,Time_Period,Absolute_Time,Settlement_Type,Culture,Reference,Species,percentage_(Bone_Count),Number_of_Identifiable_Specimens_(NISP)_%,Combined,Semi_Quantitative,...13
Dombóvár-Tesco,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,0.7,0.7,x,NA
Dombóvár-Tesco,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,2.6,2.6,x,NA
Fertöboz-Gradinahegy,1,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,57.2,57.2,xxxx,NA
Fertöboz-Gradinahegy,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,16.4,16.4,xx,NA
Fertöboz-Gradinahegy,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,4.7,4.7,x,NA
Fertöboz-Gradinahegy,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,9.6,9.6,x,NA
Fertöboz-Gradinahegy,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,12.2,12.2,xx,NA
Györszemere-Tóth-tag,1,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,70.4,70.4,xxxx,NA
Györszemere-Tóth-tag,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,3.8,3.8,x,NA
Györszemere-Tóth-tag,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,3.8,3.8,x,NA
Györszemere-Tóth-tag,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,4.5,4.5,x,NA
Györszemere-Tóth-tag,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,17.4,17.4,xx,NA
Gyulavarsánd-Laposhalom,1,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,33.6,33.6,xxxx,NA
Gyulavarsánd-Laposhalom,NA,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,12.4,12.4,xx,NA
Gyulavarsánd-Laposhalom,NA,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,26.3,26.3,xxx,NA
Gyulavarsánd-Laposhalom,NA,MBA,1900-1400,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,27.8,27.8,xxx,NA
Helemba-szigot,1,BA,2600-700,Unknown,Unknown,Harding 2000,cattle,40,NA,40,xxxx,NA
Helemba-szigot,NA,BA,2600-700,Unknown,Unknown,Harding 2000,caprine,18,NA,18,xx,NA
Helemba-szigot,NA,BA,2600-700,Unknown,Unknown,Harding 2000,pig,33,NA,33,xxx,NA
Helemba-szigot,NA,BA,2600-700,Unknown,Unknown,Harding 2000,horse,7,NA,7,x,NA
Helemba-szigot,NA,BA,2600-700,Unknown,Unknown,Harding 2000,wild,3,NA,3,x,NA
Hungary,NA,BA,2600-700,Unknown,Zók,"Benecke 1994, Tab. 31",cattle,47.9,NA,47.9,xxxx,NA
Hungary,NA,BA,2600-700,Unknown,Zók,"Benecke 1994, Tab. 31",pig,37.7,NA,37.7,xxx,NA
Hungary,NA,BA,2600-700,Unknown,Zók,"Benecke 1994, Tab. 31",caprine,13.5,NA,13.5,xx,NA
Hungary,NA,BA,2600-700,Unknown,Zók,"Benecke 1994, Tab. 31",horse,0.9,NA,0.9,x,NA
Hungary,NA,BA,2600-700,Unknown,Zók,"Benecke 1994, Tab. 31",wild animals (mammals),15,NA,15,xx,NA
Hungary,1,EBA,2600-1900,Unknown,Nagyrév,"Benecke 1994, Tab. 31",cattle,38.4,NA,38.4,xxxx,NA
Hungary,NA,EBA,2600-1900,Unknown,Nagyrév,"Benecke 1994, Tab. 31",pig,11.9,NA,11.9,xx,NA
Hungary,NA,EBA,2600-1900,Unknown,Nagyrév,"Benecke 1994, Tab. 31",caprine,30.1,NA,30.1,xxx,NA
Hungary,NA,EBA,2600-1900,Unknown,Nagyrév,"Benecke 1994, Tab. 31",horse,19.6,NA,19.6,xx,NA
Hungary,NA,EBA,2600-1900,Unknown,Nagyrév,"Benecke 1994, Tab. 31",wild animals (mammals),7.8,NA,7.8,x,NA
Hungary,NA,MBA,1900-1400,Unknown,Vatya,"Benecke 1994, Tab. 31",cattle,46.9,NA,46.9,xxxx,NA
Hungary,NA,MBA,1900-1400,Unknown,Vatya,"Benecke 1994, Tab. 31",pig,23.1,NA,23.1,xx,NA
Hungary,NA,MBA,1900-1400,Unknown,Vatya,"Benecke 1994, Tab. 31",caprine,27.3,NA,27.3,xx,NA
Hungary,NA,MBA,1900-1400,Unknown,Vatya,"Benecke 1994, Tab. 31",horse,2.7,NA,2.7,x,NA
Hungary,NA,MBA,1900-1400,Unknown,Vatya,"Benecke 1994, Tab. 31",wild animals (mammals),11.8,NA,11.8,xx,NA
Hungary,NA,MBA,1900-1400,Unknown,Hatvan,"Benecke 1994, Tab. 31",cattle,40,NA,40,xxxx,NA
Hungary,NA,MBA,1900-1400,Unknown,Hatvan,"Benecke 1994, Tab. 31",pig,25.4,NA,25.4,xx,NA
Hungary,NA,MBA,1900-1400,Unknown,Hatvan,"Benecke 1994, Tab. 31",caprine,28.4,NA,28.4,xxx,NA
Hungary,NA,MBA,1900-1400,Unknown,Hatvan,"Benecke 1994, Tab. 31",horse,6.3,NA,6.3,x,NA
Hungary,NA,MBA,1900-1400,Unknown,Hatvan,"Benecke 1994, Tab. 31",wild animals (mammals),10.8,NA,10.8,xx,NA
Hungary,NA,MBA,1900-1400,Unknown,Otomani,"Benecke 1994, Tab. 31",cattle,47.4,NA,47.4,xxxx,NA
Hungary,NA,MBA,1900-1400,Unknown,Otomani,"Benecke 1994, Tab. 31",pig,32.3,NA,32.3,xxx,NA
Hungary,NA,MBA,1900-1400,Unknown,Otomani,"Benecke 1994, Tab. 31",caprine,16.4,NA,16.4,xx,NA
Hungary,NA,MBA,1900-1400,Unknown,Otomani,"Benecke 1994, Tab. 31",horse,3.9,NA,3.9,x,NA
Hungary,NA,MBA,1900-1400,Unknown,Otomani,"Benecke 1994, Tab. 31",wild animals (mammals),27,NA,27,xxx,NA
Iernut,1,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,cattle,49,NA,49,xxxx,NA
Iernut,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,caprine,10,NA,10,xx,NA
Iernut,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,pig,41,NA,41,xxx,NA
Iernut,NA,LBA,1400-700,Unknown,Unknown,Szevérenyi et al 2015,horse,0,NA,0,0,NA
