Site,Unique,Time_Period,Absolute_Time,Settlement_Type,Culture,Reference,Species,percentage_(Bone_Count),Number_of_Identifiable_Specimens_(NISP)_%,Combined,Semi_Quantitative,...13
Tarnazsadány-Sándorrésze,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,15.5,15.5,xx,NA
Tarnazsadány-Sándorrésze,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,1.9,1.9,x,NA
Tiszafüred-Ásotthalom,1,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,21.2,21.2,xx,NA
Tiszafüred-Ásotthalom,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,5.2,5.2,x,NA
Tiszafüred-Ásotthalom,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,4.2,4.2,x,NA
Tiszafüred-Ásotthalom,NA,EBA,2600-1900,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,69.4,69.4,xxxx,NA
Tiszalúc-Dankadomb,1,EBA,2600-1900,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,37,37,xxxx,NA
Tiszalúc-Dankadomb,NA,EBA,2600-1900,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,26.6,26.6,xxx,NA
Tiszalúc-Dankadomb,NA,EBA,2600-1900,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,22.3,22.3,xx,NA
Tiszalúc-Dankadomb,NA,EBA,2600-1900,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,3.3,3.3,x,NA
Tiszalúc-Dankadomb,NA,EBA,2600-1900,Tell Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,10.8,10.8,xx,NA
Tiszaug-Kéménytetö Nagyrév 2,1,EBA,2600-1900,Tell Settlement,Nagyrév,"Bartosiewicz 2022, Fig. 2",cattle,NA,53.6,53.6,xxxx,NA
Tiszaug-Kéménytetö Nagyrév 2,NA,EBA,2600-1900,Tell Settlement,Nagyrév,"Bartosiewicz 2022, Fig. 2",caprine,NA,22.6,22.6,xx,NA
Tiszaug-Kéménytetö Nagyrév 2,NA,EBA,2600-1900,Tell Settlement,Nagyrév,"Bartosiewicz 2022, Fig. 2",pig,NA,10.6,10.6,x,NA
Tiszaug-Kéménytetö Nagyrév 2,NA,EBA,2600-1900,Tell Settlement,Nagyrév,"Bartosiewicz 2022, Fig. 2",horse,NA,3.1,3.1,x,NA
Tiszaug-Kéménytetö Nagyrév 2,NA,EBA,2600-1900,Tell Settlement,Nagyrév,"Bartosiewicz 2022, Fig. 2",large game,NA,10.1,10.1,x,NA
Tiszaug-Kéménytetö Nagyrév 3,1,EBA,2600-1900,Simple Settlement,Nagyrév,"Bartosiewicz 2022, Fig. 2",cattle,NA,62.8,62.8,xxxx,NA
Tiszaug-Kéménytetö Nagyrév 3,NA,EBA,2600-1900,Simple Settlement,Nagyrév,"Bartosiewicz 2022, Fig. 2",caprine,NA,14.6,14.6,xx,NA
Tiszaug-Kéménytetö Nagyrév 3,NA,EBA,2600-1900,Simple Settlement,Nagyrév,"Bartosiewicz 2022, Fig. 2",pig,NA,2.1,2.1,x,NA
Tiszaug-Kéménytetö Nagyrév 3,NA,EBA,2600-1900,Simple Settlement,Nagyrév,"Bartosiewicz 2022, Fig. 2",horse,NA,3.1,3.1,x,NA
Tiszaug-Kéménytetö Nagyrév 3,NA,EBA,2600-1900,Simple Settlement,Nagyrév,"Bartosiewicz 2022, Fig. 2",large game,NA,17.4,17.4,xx,NA
Tiszaug-Kéménytetö Nagyrév 4,1,EBA,2600-1900,Tell Settlement,Nagyrév,"Bartosiewicz 2022, Fig. 2",cattle,NA,41.4,41.4,xxxx,NA
Tiszaug-Kéménytetö Nagyrév 4,NA,EBA,2600-1900,Tell Settlement,Nagyrév,"Bartosiewicz 2022, Fig. 2",caprine,NA,39.5,39.5,xxx,NA
Tiszaug-Kéménytetö Nagyrév 4,NA,EBA,2600-1900,Tell Settlement,Nagyrév,"Bartosiewicz 2022, Fig. 2",pig,NA,8.4,8.4,x,NA
Tiszaug-Kéménytetö Nagyrév 4,NA,EBA,2600-1900,Tell Settlement,Nagyrév,"Bartosiewicz 2022, Fig. 2",horse,NA,0.5,0.5,x,NA
Tiszaug-Kéménytetö Nagyrév 4,NA,EBA,2600-1900,Tell Settlement,Nagyrév,"Bartosiewicz 2022, Fig. 2",large game,NA,10,10,x,NA
Tiszaug-Kéménytetö Nagyrév 5,1,EBA,2600-1900,Tell Settlement,Nagyrév,"Bartosiewicz 2022, Fig. 2",cattle,NA,43.5,43.5,xxxx,NA
Tiszaug-Kéménytetö Nagyrév 5,NA,EBA,2600-1900,Tell Settlement,Nagyrév,"Bartosiewicz 2022, Fig. 2",caprine,NA,27.5,27.5,xxx,NA
Tiszaug-Kéménytetö Nagyrév 5,NA,EBA,2600-1900,Tell Settlement,Nagyrév,"Bartosiewicz 2022, Fig. 2",pig,NA,10.1,10.1,xx,NA
Tiszaug-Kéménytetö Nagyrév 5,NA,EBA,2600-1900,Tell Settlement,Nagyrév,"Bartosiewicz 2022, Fig. 2",horse,NA,1.6,1.6,x,NA
Tiszaug-Kéménytetö Nagyrév 5,NA,EBA,2600-1900,Tell Settlement,Nagyrév,"Bartosiewicz 2022, Fig. 2",large game,NA,17.4,17.4,xx,NA
