Site,Unique,Time_Period,Absolute_Time,Settlement_Type,Culture,Reference,Species,percentage_(Bone_Count),Number_of_Identifiable_Specimens_(NISP)_%,Combined,Semi_Quantitative,...13
Ordacsehi-Bugaszeg Somogyvár,NA,MBA,1900-1400,Simple Settlement,Somogyvár,"Bartosiewicz 2022, Fig. 2",pig,NA,0.3,0.3,x,NA
Ordacsehi-Bugaszeg Somogyvár,NA,MBA,1900-1400,Simple Settlement,Somogyvár,"Bartosiewicz 2022, Fig. 2",horse,NA,0.2,0.2,x,NA
Ravaszd-Villibald-domb Kisapostag,1,MBA,1900-1400,Simple Settlement,Kisapostag,"Bartosiewicz 2022, Fig. 2",cattle,NA,26.1,26.1,xx,NA
Ravaszd-Villibald-domb Kisapostag,NA,MBA,1900-1400,Simple Settlement,Kisapostag,"Bartosiewicz 2022, Fig. 2",caprine,NA,48.9,48.9,xxxx,NA
Ravaszd-Villibald-domb Kisapostag,NA,MBA,1900-1400,Simple Settlement,Kisapostag,"Bartosiewicz 2022, Fig. 2",pig,NA,9.4,9.4,x,NA
Ravaszd-Villibald-domb Kisapostag,NA,MBA,1900-1400,Simple Settlement,Kisapostag,"Bartosiewicz 2022, Fig. 2",horse,NA,0.5,0.5,x,NA
Ravaszd-Villibald-domb Kisapostag,NA,MBA,1900-1400,Simple Settlement,Kisapostag,"Bartosiewicz 2022, Fig. 2",large game,NA,15.1,15.1,xx,NA
Salgótarján-Kenyérgyár,1,MBA,1900-1400,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,84.5,84.5,xxxx,NA
Salgótarján-Kenyérgyár,NA,MBA,1900-1400,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,3.5,3.5,x,NA
Salgótarján-Kenyérgyár,NA,MBA,1900-1400,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,7.8,7.8,x,NA
Salgótarján-Kenyérgyár,NA,MBA,1900-1400,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,4.2,4.2,x,NA
Sárbogárd-Cifrabolondvár,1,MBA,1900-1400,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,45.2,45.2,xxxx,NA
Sárbogárd-Cifrabolondvár,NA,MBA,1900-1400,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,31.8,31.8,xxx,NA
Sárbogárd-Cifrabolondvár,NA,MBA,1900-1400,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,13.2,13.2,xx,NA
Sárbogárd-Cifrabolondvár,NA,MBA,1900-1400,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,3.7,3.7,x,NA
Sárbogárd-Cifrabolondvár,NA,MBA,1900-1400,Hillfort Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,6.1,6.1,x,NA
Slovakia,NA,MBA,1900-1400,Unknown,Unknown,"Benecke 1994, Tab. 31",cattle,34.6,NA,34.6,xxx,NA
Slovakia,NA,MBA,1900-1400,Unknown,Unknown,"Benecke 1994, Tab. 31",pig,46.5,NA,46.5,xxxx,NA
Slovakia,NA,MBA,1900-1400,Unknown,Unknown,"Benecke 1994, Tab. 31",caprine,16,NA,16,xx,NA
Slovakia,1,MBA,1900-1400,Unknown,Unknown,"Benecke 1994, Tab. 31",horse,2.9,NA,2.9,x,NA
Slovakia,NA,MBA,1900-1400,Unknown,Unknown,"Benecke 1994, Tab. 31",wild animals (mammals),4.4,NA,4.4,x,NA
Süttö-Hosszúvölgy,1,MBA,1900-1400,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",cattle,NA,48.2,48.2,xxxx,NA
Süttö-Hosszúvölgy,NA,MBA,1900-1400,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",caprine,NA,21.7,21.7,xx,NA
Süttö-Hosszúvölgy,NA,MBA,1900-1400,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",pig,NA,17,17,xx,NA
Süttö-Hosszúvölgy,NA,MBA,1900-1400,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",horse,NA,3,3,x,NA
Süttö-Hosszúvölgy,NA,MBA,1900-1400,Simple Settlement,Unknown,"Bartosiewicz 2022, Fig. 2",large game,NA,10.1,10.1,x,NA
